Text                                                          Label
----------------------------------------------------------  -------
SUBTRACTION WHEELS                                                0
Subtract the number in the middle from each number in turn        0
Write your answer in the blank space on the wheel!                0
46 73_66                                                          1
97 43 52                                                          1
91                                                                1
76                                                                1
28                                                                1
34                                                                1
39                                                                1
47                                                                1
73                                                                1
91                                                                1
67                                                                1
87                                                                1
40                                                                1
56 69                                                             1
82                                                                1
13|85                                                             1
59                                                                1
57                                                                1
46                                                                1
87                                                                1
77                                                                1
98 65                                                             1
89                                                                1
65 83 48                                                          1
95 43_28                                                          1
55                                                                1
36                                                                1
25                                                                1
14                                                                1
49                                                                1
27                                                                1
62                                                                1
57                                                                1
36                                                                1
68                                                                1
56 49                                                             1
46                                                                1
Bright Kids Inc.                                                  0
www.brightkidsinc.com                                             0
