Text                                        Label
----------------------------------------  -------
Circle the matching number for each set.        0
4[5z4^^5g4'                                     0
6,                                              1
5                                               1
8,                                              1
g                                               1
7 , 5                                           1
6 , 5                                           1
2 , 3                                           1
8 , 5                                           1
8 ,                                             1
2 ,4                                            1
10                                              1
8 ,                                             1
9,                                              1
3                                               1
2                                               1
http:llamazingworksheets blogspot com/          0
