Text                    Label
--------------------  -------
Addition Worksheet 1        0
2                           1
5                           1
3                           1
5                           1
1                           1
2                           1
1a.                         0
1b.                         0
1c.                         0
3                           1
4                           1
1                           1
F                           1
7                           1
4                           1
5                           1
1                           1
2 a.                        0
2b.                         0
1                           1
0                           1
2 C.                        0
5                           1
6                           1
4                           1
+                           1
f                           1
f                           1
5                           1
3                           1
3                           1
                            1
3                           1
4                           1
3 a.                        0
3b.                         0
3 c.                        0
f                           1
f                           1
:                           1
2                           1
5                           1
1                           1
3                           1
4 a.                        0
1                           1
4 b.                        0
4 c.                        0
6                           1
+                           1
+                           1
3                           1
6                           1
1                           1
8                           1
7                           1
4                           1
5 a.                        0
5b.                         0
5 c.                        0
1                           1
