Text         Label
---------  -------
9-2              1
10-4             1
3+1+1+1          1
6-0              1
1+1+4            1
8-2              1
5+1              1
11-5             1
14-7             1
3+1+2            1
7-1              1
4+2              1
7-1              1
9-3              1
7+2              1
3+3              1
10-1             1
13-7             1
1+5              1
7+3              1
3+3              1
6+4              1
12-6             1
5+4 10-4         1
2+4              1
14-8             1
6+3              1
2+2+2            1
6+0              1
15-9             1
11-5             1
6-0              1
15-4-2           1
9-3              1
12-2             1
10-4             1
8+2              1
14-5             1
15-6 1+8         1
2+               1
8-2              1
13-3-4           1
12-3             1
1+5              1
2+6+2            1
3+4+3            1
8-2              1
5+3+2            1
14-4             1
12-5-1           1
7-1 3+3+3        1
6+1+2            1
10+2             1
4+5              1
8+1              1
2+2+2            1
7+5              1
2+5+3            1
1+7+2            1
10-2             1
11-5             1
6+2              1
4+1+1 5+5        1
15-5             1
9+1              1
13-2-1           1
6+6              1
88+4             1
11-1             1
7+3              1
6+4              1
10-4             1
8+2              1
5+1              1
12-4             1
9-1              1
4+3+3            1
13-7             1
3+5+2            1
3                1
6                1
8                1
12               1
10               1
