Text                                                                                   Label
-----------------------------------------------------------------------------------  -------
Name                                                                                       0
Date                                                                                       0
6,}5                                                                                       1
ADDIIG DECIMALS                                                                            0
TEITHS SHEET1                                                                              0
look at these number machines and use your decimal knowledge to fill in the missing        0
Have                                                                                       0
1one (or 1 whole).                                                                         0
numbers. Remember 10 tenths                                                                0
1|                                                                                         0
2]                                                                                         0
3)                                                                                         0
+0.3                                                                                       1
0.6                                                                                        1
0.9                                                                                        1
0.5                                                                                        1
0.2                                                                                        1
0.2                                                                                        1
0.8                                                                                        1
0.2                                                                                        1
0.6                                                                                        1
0.9                                                                                        1
0.6                                                                                        1
0.6                                                                                        1
1.1                                                                                        1
1.1                                                                                        1
1.1                                                                                        1
2.4                                                                                        1
2,4                                                                                        1
2.4                                                                                        1
3.7                                                                                        1
3.7                                                                                        1
3                                                                                          1
6.8                                                                                        1
6.8                                                                                        1
6.8                                                                                        1
4l                                                                                         0
5|                                                                                         0
+ 2.5                                                                                      1
+ 1.1                                                                                      1
+ 3.2                                                                                      1
0.2                                                                                        1
0.2                                                                                        1
0.2                                                                                        1
%:                                                                                         1
0.6                                                                                        1
0.6                                                                                        1
2.4                                                                                        1
1.1                                                                                        1
2.4                                                                                        1
3.7                                                                                        1
3.7                                                                                        1
3.7                                                                                        1
6.8                                                                                        1
6.8                                                                                        1
6.8                                                                                        1
9)                                                                                         0
8|                                                                                         0
+ 2.8                                                                                      1
4.6                                                                                        1
+ 7.1                                                                                      1
0.2                                                                                        1
0.2                                                                                        1
0.2                                                                                        1
:;                                                                                         1
8:                                                                                         1
0.6                                                                                        1
1.1                                                                                        1
2.4                                                                                        1
3.7                                                                                        1
3.7                                                                                        1
6.8                                                                                        1
6.8                                                                                        1
6.8                                                                                        1
@2010 Math Salamanders Ltd,                                                                0
AJTI-SALAMAMDERSQOM                                                                        0
Adding Fractions                0
Worksheet 2                     0
< " g                           1
as possible.                    0
Simplify your answers as        0
far                             0
1) ; * ;                        1
3*                              1
1)                              0
6* ;2                           1
3* 12                           1
2)                              0
12)                             0
9* ;                            1
7* 9                            1
3)                              0
13)                             0
5* 8                            1
4):* 9                          1
14)                             0
5) ;* ;                         1
15) ;* ;                        1
3* 9                            1
=* ;                            1
6)                              0
16)                             0
                                0
* ;                             1
8 * ;6                          1
7)                              0
17)                             0
s+ ;                            1
5* ;                            1
8)                              0
18)                             0
; * ;                           1
5                               1
9                               1
9)                              0
19)                             0
+i                              1
7+ 7                            1
?                               1
20)                             0
10)                             0
21)                             0
12)                             0
23)                             0
11)                             0
22)                             0
13)                             0
24)                             0
15)                             0
26)                             0
1)                             0
2)                             0
3)                             0
4)                             0
5)                             0
6)                             0
7)                             0
8)                             0
9)                             0
10)                             0
11)                             0
12)                             0
20.                             0
10.                             0
21.                             0
12.                             0
23.                             0
11.                             0
22.                             0
13.                             0
24.                             0
15.                             0
26.                             0
1.                             0
2.                             0
3.                             0
4.                             0
5.                             0
6.                             0
7.                             0
8.                             0
9.                             0
10.                             0
11.                             0
12.                             0
20 a.                             0
10 a.                             0
21 a.                             0
12 a.                             0
23 a.                             0
11 a.                             0
22 a.                             0
13 a.                             0
24 a.                             0
15 a.                             0
26 a.                             0
1 a.                             0
2 a.                             0
3 a.                             0
4 a.                             0
5 a.                             0
6 a.                             0
7 a.                             0
8 a.                             0
9 a.                             0
10 a.                             0
11 a.                             0
12 a.                             0
20 b.                             0
10 b.                             0
21 b.                             0
12 b.                             0
23 b.                             0
11 b.                             0
22 b.                             0
13 b.                             0
24 b.                             0
15 b.                             0
26 b.                             0
1 b.                             0
2 b.                             0
3 b.                             0
4 b.                             0
5 b.                             0
6 b.                             0
7 b.                             0
8 b.                             0
9 b.                             0
10 b.                             0
11 b.                             0
12 b.                             0
1 c.                             0
2 c.                             0
3 c.                             0
4 c.                             0
5 c.                             0
6 c.                             0
7 c.                             0
8 c.                             0
9 c.                             0
10 c.                             0
11 c.                             0
12 c.                             0
i9smruedm Solving Quadratic Equations B)              0
L9                                                    0
Grade A                                               0
by Factorising                                        0
cazooin!                                              0
Section A                                             0
Find the solutions to the following equations.        0
(4x+8 )(2x-8 )=0                                      1
(x+2)(X+3 )=0                                         1
1)                                                    0
4)                                                    0
(4x+3 )(x-3 )=0                                       1
( 5x~15 )(4x~2)=0                                     1
5)                                                    0
2)                                                    0
(2x-5 )(3X+2)=0                                       1
(9x-12)(5x+20 )=0                                     1
3)                                                    0
6)                                                    0
Solve the following equations by factorising.         1
Section B                                             1
:                                                     1
x? +11x-26= 0                                         1
x2+ 8x                                                1
+ 15=0                                                1
1)                                                    0
3)                                                    0
x2_7x+12=0                                            1
x2_ 5x24=0                                            1
x? +2x-15=0                                           1
14                                                    1
Ox=0                                                  1
+X2                                                   1
+                                                     1
7 + x2                                                1
x2_11x+28 = 0                                         1
18x= -25                                              1
4)                                                    0
x2=17x72                                              1
x2_X-30 =0                                            1
5)                                                    0
Section C                                             1
9                                                     1
x2_9=0                                                1
x2                                                    1
1)                                                    0
20 = 5                                                1
3)                                                    0
2_121=0                                               1
x2                                                    1
101=-1                                                1
x2_49=0                                               1
4x2                                                   1
17=-1                                                 1
2x2_128 = 0                                           1
4)                                                    0
3x2                                                   1
16 = 227                                              1
9)                                                    0
42_64=0                                               1
5)                                                    0
3x2                                                   1
55 = 53                                               1
10)                                                   1
Section D                                             1
2x2+15x+ 25= 0                                        1
12x2                                                  1
28x_5=0                                               1
1)                                                    0
4)                                                    0
2x2_7x-15=0                                           1
28x2                                                  1
_85x+ 63= 0                                           1
2)                                                    0
5)                                                    0
19x-12_5x2                                            1
3x2 +14x-24=0                                         1
3)                                                    0
6)                                                    0
ccazoom! educational resources                        0
Solving Quadratic Equations B)                        0
wwwcazoommathsworksheets.com                          0
Algebra                                               0
Level 9                                               0
Equations                                             0
ADDITIONTO 10 SHEET2                                       0
GGG                                                        0
10                                                         1
1l                                                         1
6+1=                                                       1
10| 3+3 =                                                  1
2|                                                         1
3+1 =                                                      1
11| 2+3 =                                                  1
5+ 2 =                                                     1
12) 6 +2 =                                                 1
3|                                                         1
4|                                                         1
8 + 2 =                                                    1
