Text                                     Label
-------------------------------------  -------
Mame                                         0
Date                                         0
,?3                                          0
MULTIPLICATION=2 DIGITSBV1DIGITSHEET1        0
Multiplya 2 digit number by2,3,4or 5.        0
1)                                           0
3 2                                          1
2)                                           0
2 5                                          1
3)                                           0
1 3                                          1
3                                            1
2                                            1
4                                            1
X                                            1
4)                                           0
1 6                                          1
5)                                           0
2 5                                          1
6)                                           0
2 3                                          1
                                             0
2                                            1
3                                            1
X                                            1
7)                                           0
8 6                                          1
8)                                           0
8 3                                          1
9)                                           0
9                                            1
5                                            1
3                                            1
2                                            1
5                                            1
X                                            1
X                                            1
10)                                          0
11)                                          0
12)                                          0
7                                            1
6                                            1
3                                            1
8                                            1
5                                            1
5                                            1
3                                            1
13)                                          0
14)                                          0
15)                                          0
40                                           1
8 9                                          1
2                                            1
9                                            1
5                                            1
3                                            1
02010-2011 Math Salamanders ltd.             0
A7TI-SALAMAMDEIPSCOM                         0
