Text      Label
------  -------
78            1
48            1
19            1
81            1
15            1
8             1
X76           1
X12           1
X25           1
X22           1
X 28          1
X             1
g             1
98            1
18            1
37            1
95            1
91            1
X11           1
X 8           1
x26           1
X15           1
X17           1
X29           1
x25           1
54            1
97            1
94            1
83            1
X 66          1
X61           1
X 13          1
X7            1
X             1
x45           1
17            1
85            1
96            1
58            1
44            1
x23           1
X41           1
x20           1
X24           1
X6            1
x7            1
47            1
38            1
84            1
77            1
5             1
X14           1
X36           1
X 56          1
X27           1
X4            1
