Text         Label
---------  -------
;+;+;            1
20               1
+3               1
+                1
20               1
20               1
3                1
8                1
:+:              1
7                1
7                1
+                1
+                1
+                1
i                1
22               1
+;               1
                 1
22               1
22               1
+                1
+                1
+                1
45+;;+43         1
25_+ 70_+        1
5                1
+                1
107              1
107              1
107              1
27+;;+:7         1
:+;+3            1
                 1
1o+i             1
65 + 69          1
12               1
+1               1
+1               1
65               1
65               1
