Text      Label
------  -------
*5            1
12            1
10            1
11            1
11            1
*7            1
8             1
3             1
x9            1
x3            1
x 5           1
x2            1
x0            1
x12           1
x7            1
6             1
*4            1
*2            1
11            1
10            1
9             1
8             1
*4            1
3             1
8             1
3             1
x3            1
x2            1
x 8           1
x11           1
x 8           1
x 8           1
x4            1
*2            1
12            1
*3            1
10            1
5             1
10            1
12            1
*9            1
3             1
4             1
x12           1
x12           1
x 3           1
x12           1
x10           1
x 8           1
*1i           1
12            1
11            1
*7            1
5             1
4             1
6             1
9             1
10            1
x3            1
x2            1
x9            1
x10           1
x6            1
x4            1
x1            1
*1;           1
5             1
5             1
10            1
* 12          1
2             1
5             1
9             1
11            1
x10           1
x6            1
x4            1
x5            1
x2            1
x10           1
x8            1
x4            1
10            1
*)            1
11            1
6             1
5             1
1             1
3             1
3             1
6             1
8             1
x4            1
x9            1
x 3           1
x10           1
x9            1
x11           1
x5            1
x4            1
x1            1
i             1
*4            1
43            1
11            1
*1            1
3             1
2             1
11            1
x6            1
x2            1
12            1
x2            1
x 8           1
x 11          1
*1            1
*8            1
*3            1
10            1
3             1
2             1
11            1
9             1
6             1
x12           1
x12           1
x10           1
x 3           1
x10           1
x10           1
11            1
*8            1
10            1
12            1
10            1
*4            1
11            1
8             1
9             1
4             1
x5            1
x9            1
x12           1
x12           1
x9            1
x5            1
x1            1
*5            1
10            1
5             1
10            1
12            1
5             1
2             1
1             1
9             1
x2            1
x 8           1
x10           1
x 8           1
x2            1
x 8           1
x1            1
x5            1
