Text             Label
-------------  -------
6 123 4 5 678        1
10                   1
11                   1
12                   1
13                   1
14                   1
15                   1
16                   1
17                   1
18                   1
19                   1
20                   1
5+ 6                 1
6 + 5                1
5 + 7                1
4+ 8                 1
7 + 6                1
6+6                  1
10 +1=               1
8+3                  1
