Text                                    Label
------------------------------------  -------
a=125_1"0=1^=52_=^262714101_7=114=5_        1
15+1=20-3                                   1
16=8+8                                      1
TF                                          1
ll                                          1
TF                                          1
4-6=9-1                                     1
4+7+1=15                                    1
TF                                          1
7                                           1
13=10+1-1                                   1
17=1-1                                      1
TF                                          1
13                                          1
11-6=1+1                                    1
TF                                          1
10+4+6= 10                                  1
11                                          1
5                                           1
1-4-5= 11                                   1
TF                                          1
15                                          1
9-3=1-7                                     1
1-3+1+8                                     1
!0-1:10+5                                   1
TF                                          1
17                                          1
1}=7+8                                      1
TF                                          1
8+3=17-$                                    1
7-4=10-7                                    1
TF                                          1
I3                                          1
3='-6                                       1
41+4:10                                     1
TF                                          1
11                                          1
1-1:3-4                                     1
TF                                          1
5-1= 10- 10                                 1
6+3+7=17                                    1
l0                                          1
n                                           1
