  Text    Label
------  -------
    19        1
    13        1
    54        1
    77        1
    77        1
   +36        1
   +34        1
   +18        1
   +16        1
   +12        1
    38        1
    37        1
    32        1
    71        1
    66        1
   +29        1
   +28        1
   +19        1
   +17        1
   +44        1
    72        1
    36        1
    38        1
    76        1
    55        1
   +12        1
   +42        1
   +15        1
   +26        1
   +47        1
    36        1
    78        1
    74        1
    41        1
    17        1
   +12        1
   +42        1
   +14        1
   +15        1
   +78        1
    39        1
    36        1
    14        1
    16        1
    48        1
   +38        1
   +38        1
   +29        1
   +13        1
   +45        1
