  Text    Label
------  -------
   109        1
   213        1
   516        1
   174        1
    45        1
   133        1
   356        1
   102        1
   201        1
   196        1
   154        1
   153        1
    33        1
    20        1
   141        1
    92        1
   198        1
   189        1
   130        1
   184        1
   123        1
   106        1
    46        1
    33        1
   128        1
   221        1
   128        1
   149        1
    95        1
   146        1
   120        1
    52        1
