Text      Label
------  -------
2+2=          1
5+5=          1
3+3=          1
4+4=          1
7+7=          1
1+1=          1
6+6=          1
8+8=          1
9+9=          1
1+1=          1
5+5=          1
3+3=          1
6+6=          1
7+7=          1
4+4=          1
2+2=          1
6+6=          1
1+1=          1
4+4=          1
8+8=          1
9+9=          1
5+5=          1
8+8=          1
7+7=          1
1+1=          1
4+4=          1
8+8=          1
1+1=          1
2+2=          1
9+9=          1
2+2=          1
3+3=          1
5+5=          1
7+7=          1
8+8=          1
6+6=          1
3+3=          1
7+7=          1
6+6=          1
3+3=          1
2+2=          1
5+5=          1
7+7=          1
4+4=          1
4+4=          1
7+7=          1
6+6=          1
3+3=          1
8+8=          1
9+9=          1
