Text                                                                             Label
-----------------------------------------------------------------------------  -------
2x_5                                                                                 1
= 10                                                                                 1
4x                                                                                   1
8                                                                                    1
= 32                                                                                 1
x9 = 72                                                                              1
= 72                                                                                 1
8x                                                                                   1
8                                                                                    1
4x_3                                                                                 1
= 12                                                                                 1
x6 = 36                                                                              1
gx                                                                                   1
9                                                                                    1
= 81                                                                                 1
8x                                                                                   1
5                                                                                    1
= 40                                                                                 1
x5 = 40                                                                              1
*8 = 32                                                                              1
x9 = 81                                                                              1
= 54                                                                                 1
gx                                                                                   1
9                                                                                    1
6                                                                                    1
x3 = 12                                                                              1
= 36                                                                                 1
6x                                                                                   1
x6 = 54                                                                              1
2                                                                                    1
x5 = 10                                                                              1
8x                                                                                   1
3                                                                                    1
= 24                                                                                 1
5                                                                                    1
x2 = 10                                                                              1
5x2                                                                                  1
x3 = 24                                                                              1
= 10                                                                                 1
8                                                                                    1
]|43001201-102214_2_=42#4}1_8718"[604501=570842=1*4111-4=];383840-40=4=1=5105        1
