Text      Label
------  -------
14            1
14            1
12            1
24            1
63            1
3             1
5             1
9             1
8             1
2             1
-11           1
- 8           1
+11           1
3             1
: 6           1
x12           1
: 9           1
x 12          1
+5            1
7             1
66            1
12            1
84            1
13            1
:4            1
8             1
11            1
4             1
: 11          1
+ 11          1
55            1
x5            1
= 12          1
2             1
; 2           1
97            1
*2            1
+9            1
*8            1
10            1
10            1
24            1
19            1
22            1
*4            1
10            1
x10           1
x6            1
11            1
= 4           1
+3            1
6             1
16            1
19            1
8             1
19            1
+3            1
2             1
11            1
14            1
-9            1
12            1
+ 5           1
10            1
*9            1
+5            1
36            1
12            1
8             1
5             1
12            1
x5            1
12            1
+3            1
n2            1
+5            1
16            1
36            1
9             1
3             1
7             1
2             1
+ 11          1
8             1
+ 8           1
x12           1
              1
16            1
10            1
18            1
12            1
+8            1
17            1
9             1
6             1
: 9           1
-11           1
: 6           1
+ 3           1
+ 3           1
6             1
6             1
2             1
10            1
10            1
11            1
60            1
2             1
8             1
5             1
1             1
+ 6           1
- 8           1
+ 2           1
x 8           1
+ 11          1
10            1
10            1
: 8           1
+6            1
1o            1
11            1
30            1
16            1
23            1
14            1
8             1
9             1
+9            1
: 5           1
+ 8           1
+ 10          1
6             1
+ 11          1
-12           1
77            1
49            1
10            1
18            1
2             1
12            1
3             1
2             1
+10           1
- 8           1
x 6           1
12            1
+9            1
X+            1
