Text      Label
------  -------
$4.65         1
$7.0 7        1
$7.29         1
$9.68         1
$1.83         1
$3.54         1
$3.43         1
$2.62         1
$6.89         1
$7.47         1
$9.90         1
$8.29         1
$4.55         1
$4.52         1
$6.57         1
$1.65         1
$5.21         1
$6.32         1
$7.04         1
$4.45         1
$1.75         1
$3.58         1
$5.87         1
$1.99         1
5             1
5             1
$7.65         1
$8.23         1
$5.00         1
$6.24         1
$5.45         1
$4.8 7        1
$1.85         1
$3.65         1
5             1
$8.47         1
$6.31         1
$9.00         1
$5.16         1
$6.65         1
$3.84         1
$6.38         1
$3.59         1
