Text      Label
------  -------
6,}5          1
+0.3          1
0.6           1
0.9           1
0.5           1
0.2           1
0.2           1
0.8           1
0.2           1
0.6           1
0.9           1
0.6           1
0.6           1
1.1           1
1.1           1
1.1           1
2.4           1
2,4           1
2.4           1
3.7           1
3.7           1
3             1
6.8           1
6.8           1
6.8           1
4l            1
+ 2.5         1
+ 1.1         1
+ 3.2         1
0.2           1
0.2           1
0.2           1
%:            1
0.6           1
0.6           1
2.4           1
1.1           1
2.4           1
3.7           1
3.7           1
3.7           1
6.8           1
6.8           1
6.8           1
+ 2.8         1
4.6           1
+ 7.1         1
0.2           1
0.2           1
0.2           1
:;            1
8:            1
0.6           1
1.1           1
2.4           1
3.7           1
3.7           1
6.8           1
6.8           1
6.8           1
