Text                    Label
--------------------  -------
1)100 + 40 + 7 =            1
21) 100 +                   1
+7= 137                     1
2)300 + 20 + 9 =            1
22)300 + 40                 1
345                         1
3) 600 + 7 =                1
20 + 1 = 421                1
4) 200 + 70 + 5 =           1
60 + 8 = 168                1
5| 400 + 90 + 6 =           1
25) 500 + 75 =              1
26) 400 + 23                1
6) 100 + 80 + 5 =           1
7) 700 + 60 + 8 =           1
27| 100 +                   1
147                         1
8) 600 + 50 + 1=            1
28) 300                     1
= 341                       1
9) 500 + 10 + 7 =           1
29) 72 +                    1
= 872                       1
10) 300 + 50 + 8 =          1
30) 40 + 300                1
= 349                       1
11)400 + 2 + 30 =           1
31|8+ 70 +                  1
678                         1
32) 60 + 1+ 300 =           1
12) 600 + 7+ 20 =           1
13) 80 + 100 + 4 =          1
33) 200 + 30 + 5 =          1
14) 30 + 200 + 1 =          1
34) 7                       1
+ 200 = 227                 1
f                           1
15) 50 + 7+ 500 =           1
35) 400 +                   1
+ 50 = 456                  1
16| 80 + 1+ 200             1
36) 200 + 72 + 100 =        1
17) 8 + 70 + 400            1
37) 600 + 20 + 7 =          1
18)9 + 30 + 600 =           1
38) 500 +                   1
2 = 512                     1
19)2 + 700 + 60 =           1
39) 6 +                     1
600 = 636                   1
20) 900 + 24 =              1
40) 7+ 300 +                1
= 387                       1
