Text       Label
-------  -------
(+704)         1
(-82)          1
(+2788)        1
(+8835)        1
(-95)          1
(-11)          1
(-1924)        1
(+52)          1
(-550)         1
(+25)          1
(+2666)        1
(+31)          1
(+4074)        1
(+97)          1
(+5916)        1
(+87)          1
(+4788)        1
(-84)          1
(-11)          1
(+11)          1
(-5415)        1
(-95)          1
(-1836)        1
(+68)          1
(+6)           1
(-7480)        1
(-88)          1
(-276)         1
(-114)         1
(-6)           1
(+7654)        1
(-2622)        1
(+38)          1
(+89)          1
(+4940)        1
(-52)          1
(+2100)        1
(-60)          1
(-1326)        1
(+17)          1
(-1122)        1
(-17)          1
(+53)          1
(+861)         1
(+165)         1
(-55)          1
(-2120)        1
(+39)          1
(-873)         1
(-97)          1
(+2268)        1
(+27)          1
(+156)         1
(+189)         1
(+27)          1
(+2928)        1
(-48)          1
(+528)         1
(+22)          1
(-4368)        1
(+91)          1
(-4784)        1
(+92)          1
(-1462)        1
(-43)          1
(+2015)        1
(+65)          1
(-34)          1
(+4230)        1
(-90)          1
(-2156)        1
(-77)          1
(+6840)        1
(-72)          1
(+4331)        1
(+61)          1
(+4840)        1
(+55)          1
(+279)         1
(+3)           1
(+4664)        1
(+88)          1
(+3496)        1
(-38)          1
(+2550)        1
(-30)          1
(+4050)        1
(-75)          1
(+125)         1
(+5)           1
(+212)         1
(-53)          1
(+6468)        1
(-66)          1
(+1530)        1
(-51)          1
(-2176)        1
(-64)          1
(-315)         1
(-35)          1
(+416)         1
(+16)          1
(+396)         1
(-4)           1
(-1026)        1
(-18)          1
