Text                Label
----------------  -------
77                      1
45                      1
99                      1
87                      1
84                      1
16                      1
53                      1
11                      1
X6X1X3X4X3XX4X2         1
65                      1
26                      1
77                      1
61                      1
13                      1
83                      1
53                      1
52                      1
X9X4X5X8XX6X9X4         1
21                      1
89                      1
70                      1
46                      1
55                      1
13                      1
38                      1
38                      1
X8X9X7X9X5XXX3          1
31                      1
50                      1
62                      1
22                      1
39                      1
63                      1
98                      1
47                      1
X8X2X4XX4XX4X7          1
45                      1
36                      1
86                      1
64                      1
86                      1
75                      1
33                      1
66                      1
X9X6X8X2X3X8X6X4        1
94                      1
64                      1
58                      1
86                      1
47                      1
13                      1
22                      1
71                      1
X7X2X5X5X8X2X6          1
X6                      1
96                      1
65                      1
79                      1
20                      1
10                      1
85                      1
83                      1
67                      1
X8X1X6X8X2X9X1X6        1
96                      1
92                      1
34                      1
70                      1
25                      1
88                      1
77                      1
97                      1
X7X4X6X6XX8XX2          1
