Text      Label
------  -------
9X7=          1
8X7=          1
4X5=          1
5)X5=         1
7X7=          1
6X7=          1
72:8=         1
81:9=         1
8X8=          1
9X8=          1
8x7=          1
4x7=          1
36:6=         1
56:7=         1
6x7=          1
7x7=          1
6X6=          1
2X6=          1
48:8=         1
42:6=         1
9X6=          1
1X6=          1
4x2=          1
3x2=          1
24:3=         1
32:8=         1
4x7=          1
3x7=          1
Ox7=          1
5x7=          1
20:5=         1
40:5=         1
4x4=          1
2x4=          1
4x8=          1
7x8=          1
12:4=         1
28:4=         1
8x8=          1
6x8=          1
6x9=          1
9x9=          1
42:7=         1
35:7=         1
9x9=          1
6x9=          1
7x4=          1
8x4=          1
45:5=         1
36:9=         1
5x4=          1
6x4=          1
3x9=          1
6x9=          1
64:8=         1
48:6=         1
8x9=          1
3x9=          1
12x12=        1
11x12=        1
49:7=         1
21:7=         1
18:3=         1
27:3=         1
18:9=         1
