Text          Label
----------  -------
L6                1
Section A         1
-4=12-2x          1
4X+10 = 30        1
5+10x=-15         1
9+4X=-15          1
25=46_3X          1
4X-8 =20          1
10=7X             1
14+6x=2           1
5+2x= 65          1
-3=16-X           1
8 =9_5x           1
2x-3=-2           1
Section B         1
*+5_12            1
_1=6+*            1
X                 1
X                 1
~+11=19           1
3=_3              1
2                 1
4                 1
3                 1
x-4=9             1
*_6=1             1
X                 1
X                 1
7=-4              1
14__=10           1
2                 1
3                 1
11                1
*+3_-2            1
X                 1
X                 1
X                 1
5_9=-1            1
-2= 8_5           1
= 20              1
12+               1
5                 1
8                 1
