Text      Label
------  -------
92            1
36            1
25            1
g`            1
62            1
23            1
59            1
37            1
21            1
98            1
53            1
3`            1
66            1
46            1
13            1
28            1
83            1
91            1
83            1
82            1
79            1
68            1
61            1
65            1
68            1
64            1
82            1
59            1
10            1
68            1
48            1
58            1
97            1
