Text          Label
----------  -------
9                 1
9                 1
9                 1
9                 1
9                 1
9                 1
9                 1
9                 1
9                 1
+6                1
+8                1
+9                1
+3                1
+2                1
+7                1
+4                1
+5                1
+1                1
963               1
854               1
72                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
9999 99999        1
+2                1
+5                1
+8                1
+6                1
+3                1
+9                1
+4                1
+1                1
+7                1
8 57              1
69                1
4                 1
2                 1
3                 1
1                 1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
+9                1
45                1
