Text         Label
---------  -------
90 + 26 =        1
83 - 24 =        1
15 + 18 =        1
48 + 11 =        1
15 -18 =         1
86 - 15 =        1
52 + 24 =        1
72 + 22 =        1
96 - 21=         1
17 + 35 =        1
27- 24 =         1
47- 20 =         1
73 + 20 =        1
78 - 20 =        1
44 + 26 =        1
29 + 29          1
31+16 =          1
90 - 26 =        1
                 1
37- 29 =         1
20 - 13          1
40 + 27 =        1
18 + 12 =        1
71-11=           1
77-28 =          1
57+15 =          1
10-14 =          1
20 + 13 =        1
55 + 16 =        1
94-16 =          1
51-23 =          1
30 =             1
85 +             1
12 + 13 =        1
12-13 =          1
69 + 21 =        1
35=30 =          1
75-12 =          1
83 + 24 =        1
54-19 =          1
99 + 27 =        1
53=31=           1
97+ 16 =         1
85 -30 =         1
