Text      Label
------  -------
3 2           1
2 5           1
1 3           1
3             1
2             1
4             1
X             1
1 6           1
2 5           1
2 3           1
              1
2             1
3             1
X             1
8 6           1
8 3           1
9             1
5             1
3             1
2             1
5             1
X             1
X             1
7             1
6             1
3             1
8             1
5             1
5             1
3             1
40            1
8 9           1
2             1
9             1
5             1
3             1
