Text      Label
------  -------
3             1
+=            1
3             1
+2            1
3             1
3=            1
t             1
+4            1
3             1
5=            1
3             1
t             1
3             1
6             1
+             1
8 :           1
3             1
t             1
3             1
3             1
9             1
3             1
10            1
=             1
3             1
ll            1
=             1
12            1
3             1
=             1
