Text      Label
------  -------
12            1
3.3           1
4. 10         1
5.7           1
8             1
7. 19         1
8             1
2.9           1
X8            1
_6            1
_             1
_3            1
X5            1
_2            1
_1            1
X4            1
10. 19        1
12. 15        1
11. 10        1
13. 8         1
14. 4         1
15. 7         1
16. 14        1
5             1
_2            1
_6            1
X3            1
X2            1
X7            1
8             1
X1            1
X4            1
X             1
19. 14        1
22. 18        1
24            1
21. 5         1
5             1
9             1
X2            1
X6            1
X4            1
X             1
X             1
X2            1
23. 25        1
27. 7         1
24. 18        1
25. 17        1
4             1
X2            1
X1            1
X             1
6             1
8             1
u             1
D             1
29. 13        1
31. 21        1
33. 13        1
28. 20        1
17            1
3             1
X             1
X             1
X4            1
_8            1
_2            1
X2            1
35. 15        1
36. 18        1
37. 21        1
38. 3         1
11            1
4             1
_2            1
_1            1
_Q            1
_5            1
X2            1
Y2            1
