Text      Label
------  -------
1             1
4X            1
=             1
4             1
X2            1
=             1
X3            1
4             1
=             1
              1
4x4           1
=             1
4X5=          1
4X6           1
=             1
X7=           1
4             1
X8            1
4             1
=             1
4X9           1
=             1
10            1
4             1
X             1
=             1
4X11          1
=             1
12            1
4             1
X             1
