Text         Label
---------  -------
within 2O        1
                 1
0                1
19               1
11               1
12               1
13               1
14               1
15               1
16               1
17               1
18               1
14 - 6           1
11 - 5 =         1
10 - 5 =         1
9 - 3            1
_                1
18 - 9 =         1
5 - 5 =          1
12               1
7-               1
4 =              1
13 - 3           1
3 - 2            1
17 - 4 =         1
15 - 3 =         1
6 - 2 =          1
9 - 5 =          1
14 - 9 =         1
_                1
17               1
16 - 8 =         1
5 - 3 =          1
8 - 7            1
T                1
