Text           Label
-----------  -------
234                1
6789               1
19                 1
20                 1
13 - 8             1
11| 14 - 8         1
12] 16 - 10        1
12 - 6             1
10 - 7             1
13] 15 - 6         1
15 - 4             1
14| 19 - 4         1
17- 3              1
15| 17- 6          1
16| 13 - 10        1
9 - 7              1
17| 20 - 8         1
13 - 11            1
15 - 5             1
18] 19 - 7         1
19| 16 - 14        1
10 - 6             1
10| 12 - 10        1
20| 18 - 15        1
